command: /home/user/.venvs/threadsmith/bin/python second_marker.py compare --scratch ../stage-B --reader record96
marker to marker, 96 report(s) in both sets. No field is summed with another.
  field                              sort           agree  disagree  unreadable
  test_remove                        within-step       94         2           0
  test_swap                          within-step       88         8           0
  test_poke                          within-step       77        19           0
  test_flip                          cross-step        94         2           0
  test_reverse                       cross-step        83        13           0
  test_hunt                          cross-step        94         2           0
  test_addjob                        cross-step        82        14           0
  test_rival                         cross-step        89         7           0
  test_pull                          cross-step        90         6           0
  test_patches                       cross-step        89         7           0
  test_inside                        cross-step        80        16           0
  shape_elements                     within-step       76        20           0
  shape                              within-step       94         2           0
  turned_own_test                    cross-step        92         4           0
  same_explanation                   cross-step        95         1           0
  marks_per_part                     within-step       81        14           1
  pairs_that_pull                    cross-step        93         3           0
  rivals_built                       cross-step        77        12           7
  remove_in_groups                   cross-step        92         4           0
  question_identity                  within-step        4         1          91
  modules_self_reported              within-step       94         2           0
  modules_served                     within-step        0         0          96
  marks_outside_closed_list          within-step       86         7           3
  attributions                       within-step       80        16           0
  layer_at_fault                     within-step       66        28           2
exit code: 0
